Size,Selection,Mutation,Run,BestObjective1
1000,Roleta,0.001,26,28255.3
1000,Roleta,0.001,27,29591.2
1000,Roleta,0.001,28,29290.9
1000,Roleta,0.001,29,29231.2
1000,Roleta,0.001,30,29621.4
1000,Torneio,0.001,1,37202.3
1000,Torneio,0.001,2,38303.7
1000,Torneio,0.001,3,37125.4
1000,Torneio,0.001,4,38069.2
1000,Torneio,0.001,5,37739.7
1000,Torneio,0.001,6,37763.3
1000,Torneio,0.001,7,37356.7
1000,Torneio,0.001,8,37171.2
1000,Torneio,0.001,9,37165.3
1000,Torneio,0.001,10,38281.9
1000,Torneio,0.001,11,37921.9
1000,Torneio,0.001,12,37664.1
1000,Torneio,0.001,13,38114.8
1000,Torneio,0.001,14,37487
1000,Torneio,0.001,15,38524.3
1000,Torneio,0.001,16,37807.2
1000,Torneio,0.001,17,38025.8
1000,Torneio,0.001,18,36849.5
1000,Torneio,0.001,19,38275.3
1000,Torneio,0.001,20,37713.7
1000,Torneio,0.001,21,38608.1
1000,Torneio,0.001,22,39705.6
1000,Torneio,0.001,23,37004.1
1000,Torneio,0.001,24,37815.4
1000,Torneio,0.001,25,38380.4
1000,Torneio,0.001,26,38691.8
1000,Torneio,0.001,27,38588.1
1000,Torneio,0.001,28,37444.6
1000,Torneio,0.001,29,37596.2
1000,Torneio,0.001,30,37620.1
