Size,Selection,Run,Obj1,Obj2,Obj3
250,Roleta,2,7098.1,7740.81,7473.08
250,Roleta,2,7123.28,7814.04,7618.92
250,Roleta,2,6740.91,7276.35,6879
250,Roleta,2,7221.09,7601.8,7857.42
250,Roleta,2,7016.34,7617.33,7564.02
250,Roleta,2,7758.33,8101.15,7986.36
250,Roleta,2,7124.45,7397.02,7697.39
250,Roleta,2,7029.74,7503.64,7413.25
250,Roleta,2,7173.6,7665.81,7735.8
250,Roleta,2,7266.35,7559.78,7821.15
250,Roleta,2,7266.35,7559.78,7821.15
250,Roleta,3,8176.42,7883.99,7957.3
250,Roleta,3,7409.7,7574,7652.86
250,Roleta,3,7800.72,7840.28,7445.74
250,Roleta,3,7530.53,7145.84,7003.56
250,Roleta,3,7274.51,7346.8,7196.12
250,Roleta,3,7357.71,7299.25,7423.2
250,Roleta,3,7596.6,7464.41,7535.61
250,Roleta,3,7397.91,7270.14,7173.39
250,Roleta,3,7225.03,7142.47,7220.43
250,Roleta,3,7193.91,6990.17,7137.96
250,Roleta,3,7092.99,7337.25,6941.43
250,Roleta,3,8071.58,7874.19,7654.96
250,Roleta,3,8358.12,8168.73,8170.45
250,Roleta,3,7704.84,7827.92,7365.89
250,Roleta,3,7713.79,7654,7346.28
250,Roleta,3,7808.24,7702.22,7370.14
250,Roleta,3,6934.74,7030.27,7160.18
250,Roleta,3,7140.88,7426.67,7476.66
250,Roleta,3,7592.78,7828.07,7947.08
250,Roleta,3,8085.08,8206.89,8164.84
250,Roleta,3,7535.59,7541.72,7605.93
250,Roleta,3,7822.92,7660.52,7810.06
250,Roleta,3,8162.01,8228.66,8260.69
250,Roleta,3,7615.5,7719.32,7541.79
250,Roleta,3,7464.27,7837.37,7634.05
250,Roleta,3,7651.84,7811.01,7898.94
250,Roleta,3,7333.12,7490.8,7338
250,Roleta,3,7985.87,7901.08,7689.63
250,Roleta,3,7500.16,7869.55,7583.68
250,Roleta,3,7474.72,7776.37,7531.52
250,Roleta,3,7562.73,7486.66,7414.53
250,Roleta,3,7916.12,7611.47,7836.87
250,Roleta,3,6881.49,7209.86,6808.93
250,Roleta,3,7512.61,7269.08,7334.31
250,Roleta,3,7097.82,7127.86,7079.11
250,Roleta,3,7787.52,7728.52,7434.24
250,Roleta,3,7605.52,7312.45,7544.38
250,Roleta,3,7453.46,7344.48,7443.08
250,Roleta,3,7355.94,7559.25,7689.72
250,Roleta,3,8135.35,8110.94,8174.86
250,Roleta,3,7430.89,7467.07,7487.03
250,Roleta,3,7627.05,7390.03,7404.61
250,Roleta,3,7747.94,7687.84,7445.87
250,Roleta,3,7432.87,7384.48,7126.96
250,Roleta,3,7601.46,7487.02,7522.22
250,Roleta,3,7436.37,7270.57,7559.68
250,Roleta,3,8090.83,8052.86,8085.41
250,Roleta,3,8377.09,8264.97,8278.53
250,Roleta,3,7808.03,7416.16,7588.05
250,Roleta,3,7510.55,7415.1,7533.31
250,Roleta,3,7305.83,7177.6,7300.78
250,Roleta,3,7638.21,7386.19,7571.09
250,Roleta,3,7265.58,7381.96,7579.04
250,Roleta,3,7395.29,7406.71,7295.18
250,Roleta,3,7376.37,7456.55,7128.38
250,Roleta,3,7547.99,7405.93,7292.87
250,Roleta,3,6889.4,7034.87,7012.9
250,Roleta,3,7848.16,7853.46,7918.04
250,Roleta,3,8177.11,8351.22,8387.46
250,Roleta,3,7181.38,7275,7198.39
250,Roleta,3,7145.83,7372.36,7101.99
250,Roleta,3,7356.21,7421.58,7304.98
250,Roleta,3,7616.44,7673.92,7572.11
250,Roleta,3,7406.64,7700.23,7647.09
250,Roleta,3,7592.51,7371.79,7364.83
250,Roleta,3,7541.47,7585.97,7602.66
250,Roleta,3,7599.73,7392.16,7116.97
250,Roleta,3,6828.24,6900.91,6582.66
